family_file,method,family_label,circuit_id,num_blocks,best_effective_tcount,best_num_factors,best_n_toffoli_gadgets,best_n_cs_gadgets,best_n_t_remaining,all_tensor_equal,best_decomposition_keys,best_candidate_indices
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n13,1,20,70,10,0,0,True,hamming_weight_n13,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n14,1,22,77,11,0,0,True,hamming_weight_n14,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n15,1,22,77,11,0,0,True,hamming_weight_n15,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n16,1,30,105,15,0,0,True,hamming_weight_n16,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n17,1,30,105,15,0,0,True,hamming_weight_n17,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n18,1,32,112,16,0,0,True,hamming_weight_n18,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n19,1,32,112,16,0,0,True,hamming_weight_n19,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n20,1,36,126,18,0,0,True,hamming_weight_n20,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n4,1,6,21,3,0,0,True,hamming_weight_n4,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n5,1,6,21,3,0,0,True,hamming_weight_n5,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n6,1,8,28,4,0,0,True,hamming_weight_n6,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n7,1,8,28,4,0,0,True,hamming_weight_n7,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n8,1,14,49,7,0,0,True,hamming_weight_n8,0
hamming_weight_phase_gradient.npz,paper_gadgets,hamming_weight_phase_gradient,hamming_weight_n9,1,14,49,7,0,0,True,hamming_weight_n9,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow10_mult,1,92,322,46,0,0,True,gf_2pow10_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow2_mult,1,6,21,3,0,0,True,gf_2pow2_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow3_mult,1,12,42,6,0,0,True,gf_2pow3_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow4_mult,1,18,63,9,0,0,True,gf_2pow4_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow5_mult,1,26,91,13,0,0,True,gf_2pow5_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow6_mult,1,36,126,18,0,0,True,gf_2pow6_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow7_mult,1,44,154,22,0,0,True,gf_2pow7_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow8_mult,1,58,203,29,0,0,True,gf_2pow8_mult_comp2,0
multiplication_finite_fields_gadgets.npz,paper_gadgets,finite_field_multiplication,gf_2pow9_mult,1,70,245,35,0,0,True,gf_2pow9_mult_comp2,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow10_mult,1,196,196,0,0,196,True,gf_2pow10_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow2_mult,1,17,17,0,0,17,True,gf_2pow2_mult_comp2,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow3_mult,1,29,29,0,0,29,True,gf_2pow3_mult_comp2,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow4_mult,1,39,39,0,0,39,True,gf_2pow4_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow5_mult,1,59,59,0,0,59,True,gf_2pow5_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow6_mult,1,77,77,0,0,77,True,gf_2pow6_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow7_mult,1,104,104,0,0,104,True,gf_2pow7_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow8_mult,1,123,123,0,0,123,True,gf_2pow8_mult_comp1,0
multiplication_finite_fields_no_gadgets.npz,paper_no_gadgets,finite_field_multiplication,gf_2pow9_mult,1,161,161,0,0,161,True,gf_2pow9_mult_comp1,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p4_o3,1,16,56,8,0,0,True,basis_change_p4_o3,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p4_o4,1,24,84,12,0,0,True,basis_change_p4_o4,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p4_o5,1,32,112,16,0,0,True,basis_change_p4_o5,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p5_o3,1,24,84,12,0,0,True,basis_change_p5_o3,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p5_o4,1,36,126,18,0,0,True,basis_change_p5_o4,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p6_o3,1,32,112,16,0,0,True,basis_change_p6_o3,0
quantum_chemistry.npz,paper_gadgets,quantum_chemistry,basis_change_p7_o3,1,40,140,20,0,0,True,basis_change_p7_o3,0
unary_iteration_gadgets.npz,paper_gadgets,unary_iteration,unary_iteration_n3,1,14,49,7,0,0,True,unary_iteration_n3,0
unary_iteration_gadgets.npz,paper_gadgets,unary_iteration,unary_iteration_n4,1,30,105,15,0,0,True,unary_iteration_n4,0
unary_iteration_gadgets.npz,paper_gadgets,unary_iteration,unary_iteration_n5,1,62,217,31,0,0,True,unary_iteration_n5,0
unary_iteration_no_gadgets.npz,paper_no_gadgets,unary_iteration,unary_iteration_n3,1,31,31,0,0,31,True,unary_iteration_n3,0
unary_iteration_no_gadgets.npz,paper_no_gadgets,unary_iteration,unary_iteration_n4,1,63,63,0,0,63,True,unary_iteration_n4,0
unary_iteration_no_gadgets.npz,paper_no_gadgets,unary_iteration,unary_iteration_n5,1,127,127,0,0,127,True,unary_iteration_n5,0
