family_file,family_label,method,use_gadgets,decomposition_key,circuit_id,block_label,candidate_index,num_factors,tensor_size,n_toffoli_gadgets,n_cs_gadgets,n_t_remaining,effective_tcount,tensor_path,tensor_equal,tensor_mismatch_count,tensor_target_shape,tensor_reconstructed_shape,tensor_validation_error,npz_path
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,3,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,4,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,5,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,6,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,7,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,8,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_4,barenco_tof_4,,9,28,14,4,0,0,8,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_4/barenco_tof_4.tensor.npy,true,0,"(14, 14, 14)","(14, 14, 14)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,0,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,1,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,2,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,3,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,4,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,5,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,6,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,7,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,8,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,barenco_toff_5,barenco_tof_5,,9,42,20,6,0,0,12,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_5/barenco_tof_5.tensor.npy,true,0,"(20, 20, 20)","(20, 20, 20)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,0,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,1,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,2,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,3,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,4,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,5,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,6,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,7,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,8,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csla_mux_3,csla_mux_3,,9,56,21,8,0,0,16,external/circuit-to-tensor/benchmarks/arithmetic/csla_mux_3/csla_mux_3.tensor.npy,true,0,"(21, 21, 21)","(21, 21, 21)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,0,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,1,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,2,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,3,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,4,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,5,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,6,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,7,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,8,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,csum_mux_9,csum_mux_9,,9,98,42,14,0,0,28,external/circuit-to-tensor/benchmarks/arithmetic/csum_mux_9/csum_mux_9.tensor.npy,true,0,"(42, 42, 42)","(42, 42, 42)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
benchmarks_gadgets.npz,benchmark,paper_gadgets,True,grover_5_block1,grover_5,block1,0,139,58,19,0,6,44,external/circuit-to-tensor/benchmarks/arithmetic/grover_5/grover_5_block1.tensor.npy,true,0,"(58, 58, 58)","(58, 58, 58)",,external/alphatensor_quantum/decompositions/benchmarks_gadgets.npz
