source_split,target,family,functional_family,n_qubits,tensor_size,original_tcount,objective_variant,execution_status,has_beam_candidate,factor_count,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,decomp_tcount,decomp_tdepth,decomp_qasm_depth,decomp_qasm_depth_ratio,decomp_structural_status,optimization_elapsed_sec,materialization_elapsed_sec,objective_elapsed_sec,best_beam_materializer,best_beam_tcount,best_beam_tdepth,best_beam_qasm_depth,best_beam_qasm_depth_ratio,best_beam_primary_nc_depth_ratio,best_beam_cnots,target_objective_count,train_ready,oracle_objective,oracle_selection_status,objective_t_safe,objective_qasm_safe,objective_is_oracle,objective_rank,best_beam_summary_path
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,hamming_weight_n5,applications,hamming-weight,8,10,21,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,factor_count,ok,True,7,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.6779661016949152,ok,,,,selected-beam-shared-parity-w16,7.0,3.0,37.0,0.6271186440677966,0.1864406779661017,14.0,3,True,factor_count,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-beam-shared-parity-w16/summary.json
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,factor_count_pair_cap,ok,True,7,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.6779661016949152,ok,,,,selected-beam-shared-parity-w16,7.0,3.0,37.0,0.6271186440677966,0.1864406779661017,14.0,3,True,factor_count,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,mixed_pair,ok,True,7,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.6779661016949152,ok,,,,selected-beam-shared-parity-w16,7.0,3.0,37.0,0.6271186440677966,0.1864406779661017,14.0,3,True,factor_count,constrained,True,True,False,3,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-beam-shared-parity-w16/summary.json
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,mod_5_4,arithmetic,modular-arithmetic,5,5,28,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,factor_count,ok,True,13,0.15311909262759923,3.5384615384615383,1.7820512820512822,0.3393467643467643,13.0,5.0,177.0,4.657894736842105,ok,,,,selected-beam-shared-parity-w4,13.0,3.0,164.0,4.315789473684211,0.675,44.0,3,True,factor_count_pair_cap,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/factor_count/selected-beam-shared-parity-w4/summary.json
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,factor_count_pair_cap,ok,True,13,0.15311909262759923,3.5384615384615383,1.7820512820512822,0.35109890109890113,13.0,4.0,171.0,4.5,ok,,,,selected-beam-shared-parity-w16,13.0,3.0,161.0,4.2368421052631575,0.625,40.0,3,True,factor_count_pair_cap,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,nc_tof_3,arithmetic,toffoli-chain,5,7,21,mixed_pair,ok,True,17,0.14681440443213298,2.235294117647059,0.6397058823529411,0.1767156862745098,17.0,5.0,186.0,4.894736842105263,ok,,,,selected-beam-shared-parity-w4,17.0,4.0,170.0,4.473684210526316,0.675,30.0,3,True,factor_count_pair_cap,constrained,False,True,False,,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/nc_tof_3/mixed_pair/selected-beam-shared-parity-w4/summary.json
