policy,policy_type,fold_target,source_split,target,selection_status,selected_objective,fixed_objective,oracle_objective,exact_oracle_match,weights,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
split_select_linear_alphaq,alphaq-factor,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",137.0,2.5728155339805827,604.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,0.8303030303030303,0.8006042296072509,0.9278033794162827,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",137.0,2.5728155339805827,604.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,0.8303030303030303,0.8006042296072509,0.9278033794162827,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,csla_mux_3,external_journal_k6_frontier,csla_mux_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",137.0,2.5728155339805827,604.0,165.0,3.2135922330097086,651.0,137.0,2.5728155339805827,604.0,0.8303030303030303,0.8006042296072509,0.9278033794162827,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count,,factor_count_pair_cap,False,,13.0,0.4935064935064935,211.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,1.0,1.0,1.0,1.055
best_fixed_loto,fixed-objective,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count,factor_count,factor_count_pair_cap,False,,13.0,0.4935064935064935,211.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,1.0,1.0,1.0,1.055
oracle_posthoc,oracle,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,,factor_count_pair_cap,True,,13.0,0.4805194805194805,200.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,0.9736842105263158,0.9478672985781991,1.0,1.0
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",13.0,0.4805194805194805,200.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,0.9736842105263158,0.9478672985781991,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.4805194805194805,200.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,0.9736842105263158,0.9478672985781991,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,cuccaro_adder_n3,internal,cuccaro_adder_n3,ok,factor_count_pair_cap,,factor_count_pair_cap,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.4805194805194805,200.0,13.0,0.4935064935064935,211.0,13.0,0.4805194805194805,200.0,1.0,0.9736842105263158,0.9478672985781991,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,factor_count,,t_preserving_frontier_pair,False,,13.0,0.5454545454545454,205.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,1.0,1.0,1.0,1.0049019607843137
best_fixed_loto,fixed-objective,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,factor_count,factor_count,t_preserving_frontier_pair,False,,13.0,0.5454545454545454,205.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,1.0,1.0,1.0,1.0049019607843137
oracle_posthoc,oracle,cuccaro_adder_n3,external_journal_k6_backfill,cuccaro_adder_n3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,,13.0,0.5064935064935064,204.0,13.0,0.5454545454545454,205.0,13.0,0.5064935064935064,204.0,1.0,0.9285714285714285,0.9951219512195122,1.0,1.0
