policy,source_split,target,selection_status,selected_objective,oracle_objective,exact_oracle_match,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,selected_runtime_sec,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,baseline_runtime_sec,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,oracle_runtime_sec,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,runtime_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
best_fixed_loto,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,factor_count,True,23.0,,241.0,,23.0,,241.0,,23.0,,241.0,,1.0,,1.0,,1.0,1.0
circuit_1nn,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,mixed_pair,factor_count,False,32.0,,252.0,,23.0,,241.0,,23.0,,241.0,,1.391304347826087,,1.045643153526971,,1.391304347826087,1.045643153526971
circuit_knn3,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,mixed_pair,factor_count,False,32.0,,252.0,,23.0,,241.0,,23.0,,241.0,,1.391304347826087,,1.045643153526971,,1.391304347826087,1.045643153526971
circuit_nearest_centroid,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,missing-selected-objective,frontier_pair,factor_count,,,,,,,,,,,,,,,,,,,
circuit_softmax,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count_pair_cap,factor_count,False,23.0,,251.0,,23.0,,241.0,,23.0,,241.0,,1.0,,1.04149377593361,,1.0,1.04149377593361
shuffled_centroid_control,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count_pair_cap,factor_count,False,23.0,,251.0,,23.0,,241.0,,23.0,,241.0,,1.0,,1.04149377593361,,1.0,1.04149377593361
oracle_posthoc,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,factor_count,True,23.0,,241.0,,23.0,,241.0,,23.0,,241.0,,1.0,,1.0,,1.0,1.0
baseline_factor_count,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
best_fixed_loto,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
circuit_1nn,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
circuit_knn3,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
circuit_nearest_centroid,internal,gf_2pow2_mult,ok,factor_count_pair_cap,mixed_pair,False,17.0,0.7272727272727273,103.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,0.8888888888888888,0.9626168224299065,,1.0,1.0404040404040404
circuit_softmax,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
shuffled_centroid_control,internal,gf_2pow2_mult,ok,factor_count,mixed_pair,False,17.0,0.8181818181818182,107.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0,1.0,,1.0,1.0808080808080809
oracle_posthoc,internal,gf_2pow2_mult,ok,mixed_pair,mixed_pair,True,17.0,0.8409090909090909,99.0,,17.0,0.8181818181818182,107.0,,17.0,0.8409090909090909,99.0,,1.0,1.0277777777777777,0.9252336448598131,,1.0,1.0
baseline_factor_count,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
best_fixed_loto,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
circuit_1nn,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
circuit_knn3,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
circuit_nearest_centroid,external_article_core,gf_2pow2_mult,ok,factor_count_pair_cap,factor_count,False,17.0,0.9318181818181818,99.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0789473684210527,1.0206185567010309,,1.0,1.0206185567010309
circuit_softmax,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
shuffled_centroid_control,external_article_core,gf_2pow2_mult,ok,factor_count_pair_cap,factor_count,False,17.0,0.9318181818181818,99.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0789473684210527,1.0206185567010309,,1.0,1.0206185567010309
oracle_posthoc,external_article_core,gf_2pow2_mult,ok,factor_count,factor_count,True,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,17.0,0.8636363636363636,97.0,,1.0,1.0,1.0,,1.0,1.0
baseline_factor_count,internal,gf_2pow3_mult,ok,factor_count,factor_count_pair_cap,False,35.0,0.8541666666666666,198.0,,35.0,0.8541666666666666,198.0,,33.0,0.9270833333333334,200.0,,1.0,1.0,1.0,,1.0606060606060606,0.99
