policy,scope,source_split,target,budget,available_candidates,materialized_objectives,final_objective,final_tcount,final_qasm_depth,oracle_tcount,oracle_qasm_depth,baseline_tcount,baseline_qasm_depth,oracle_t_recovered,tcount_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle
guarded_top1,groups,external_article_extended,hamming_weight_n6,1,4,factor_count,factor_count,25.0,172.0,25.0,168.0,25.0,172.0,True,1.0,1.0,1.0
guarded_top1,groups,external_article_extended,hamming_weight_n7,1,4,factor_count,factor_count,34.0,214.0,28.0,193.0,34.0,214.0,False,1.0,1.0,1.2142857142857142
guarded_top1,groups,external_article_extended,mod_mult_55,1,4,factor_count,factor_count,20.0,257.0,18.0,252.0,20.0,257.0,False,1.0,1.0,1.1111111111111112
guarded_top1,groups,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,1,3,factor_count,factor_count,23.0,241.0,23.0,241.0,23.0,241.0,True,1.0,1.0,1.0
guarded_top1,groups,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,1,3,factor_count,factor_count,57.0,461.0,55.0,462.0,57.0,461.0,False,1.0,1.0,1.0363636363636364
guarded_top1,groups,external_journal_full_hamming_weight_n6,hamming_weight_n6,1,3,factor_count,factor_count,25.0,173.0,25.0,168.0,25.0,173.0,True,1.0,1.0,1.0
guarded_top1,groups,external_journal_full_hamming_weight_n7,hamming_weight_n7,1,3,factor_count,factor_count,26.0,202.0,26.0,202.0,26.0,202.0,True,1.0,1.0,1.0
guarded_top1,groups,external_journal_full_mod_mult_55,mod_mult_55,1,3,factor_count,factor_count,18.0,268.0,18.0,252.0,18.0,268.0,True,1.0,1.0,1.0
guarded_top1,groups,external_night_long,barenco_tof_4,1,2,factor_count,factor_count,64.0,298.0,42.0,266.0,64.0,298.0,False,1.0,1.0,1.5238095238095237
guarded_top1,groups,external_night_long,nc_tof_4,1,3,factor_count,factor_count,24.0,243.0,24.0,243.0,24.0,243.0,True,1.0,1.0,1.0
guarded_top1,groups,external_night_long,vbe_adder_3,1,3,factor_count,factor_count,65.0,296.0,65.0,296.0,65.0,296.0,True,1.0,1.0,1.0
guarded_top1,groups,external_standard,nc_tof_4,1,3,factor_count,factor_count,24.0,243.0,24.0,243.0,24.0,243.0,True,1.0,1.0,1.0
guarded_top1,groups,external_standard,vbe_adder_3,1,2,factor_count,factor_count,65.0,313.0,65.0,313.0,65.0,313.0,True,1.0,1.0,1.0
guarded_top1,groups,internal,barenco_tof_3,1,3,factor_count,factor_count,13.0,162.0,13.0,162.0,13.0,162.0,True,1.0,1.0,1.0
guarded_top1,groups,internal,cuccaro_adder_n3,1,3,factor_count,factor_count,13.0,211.0,13.0,200.0,13.0,211.0,True,1.0,1.0,1.0
guarded_top1,groups,internal,gf_2pow2_mult,1,3,factor_count,factor_count,17.0,107.0,17.0,99.0,17.0,107.0,True,1.0,1.0,1.0
guarded_top1,groups,internal,gf_2pow3_mult,1,3,factor_count,factor_count,35.0,198.0,33.0,200.0,35.0,198.0,False,1.0,1.0,1.0606060606060606
guarded_top1,groups,internal,hamming_weight_n4,1,3,factor_count,factor_count,23.0,179.0,20.0,173.0,23.0,179.0,False,1.0,1.0,1.15
guarded_top1,groups,internal,hamming_weight_n5,1,3,factor_count,factor_count,20.0,182.0,19.0,180.0,20.0,182.0,False,1.0,1.0,1.0526315789473684
guarded_top1,groups,internal,mod_5_4,1,3,factor_count,factor_count,7.0,37.0,7.0,37.0,7.0,37.0,True,1.0,1.0,1.0
guarded_top1,groups,internal,nc_tof_3,1,3,factor_count,factor_count,13.0,164.0,13.0,161.0,13.0,164.0,True,1.0,1.0,1.0
