target,objective_variant,best_run,best_status,best_tcount,best_beam_qasm_depth,best_beam_tdepth,best_beam_materializer,completed_runs,failed_runs,missing_runs
gf_2pow5_mult,factor_count,journal_full_gf_2pow5_mult_long,ok,163.0,718.0,17.0,selected-beam-shared-parity-w16,journal_full_gf_2pow5_mult_long,"article_extended,journal_full_gf_2pow5_mult","standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long"
gf_2pow5_mult,factor_count_pair_cap,article_extended,failed,,,,,,"article_extended,journal_full_gf_2pow5_mult,journal_full_gf_2pow5_mult_long","standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long"
gf_2pow5_mult,frontier_pair,journal_full_gf_2pow5_mult_long,ok,163.0,718.0,17.0,selected-beam-shared-parity-w16,journal_full_gf_2pow5_mult_long,article_extended,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long"
gf_2pow5_mult,mixed_pair,article_extended,failed,,,,,,"article_extended,journal_full_gf_2pow5_mult,journal_full_gf_2pow5_mult_long","standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long"
hamming_weight_n4,factor_count,article_core,ok,19.0,164.0,4.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n4,factor_count_pair_cap,article_core,ok,19.0,167.0,4.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n4,frontier_pair,article_core,ok,19.0,171.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n4,mixed_pair,article_core,ok,20.0,170.0,5.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n5,factor_count,article_core,ok,19.0,179.0,4.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n5,factor_count_pair_cap,article_core,ok,20.0,179.0,4.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n5,frontier_pair,article_core,ok,19.0,179.0,4.0,selected-beam-shared-parity-w32,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n5,mixed_pair,article_core,ok,20.0,180.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n6,factor_count,article_extended,ok,25.0,172.0,3.0,selected-beam-shared-parity-w16,"article_extended,journal_full_hamming_weight_n6",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n6,factor_count_pair_cap,article_extended,ok,25.0,168.0,4.0,selected-beam-shared-parity-w32,"article_extended,journal_full_hamming_weight_n6",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n6,frontier_pair,article_extended,ok,25.0,172.0,4.0,selected-beam-shared-parity-w32,article_extended,,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n6,mixed_pair,journal_full_hamming_weight_n6,ok,26.0,172.0,4.0,selected-beam-shared-parity-w32,"article_extended,journal_full_hamming_weight_n6",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n7,factor_count,journal_full_hamming_weight_n7,ok,26.0,202.0,4.0,selected-beam-shared-parity-w32,"article_extended,journal_full_hamming_weight_n7",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n7,factor_count_pair_cap,journal_full_hamming_weight_n7,ok,28.0,188.0,6.0,selected-beam-shared-parity-w16,"article_extended,journal_full_hamming_weight_n7",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n7,frontier_pair,article_extended,ok,28.0,193.0,4.0,selected-beam-shared-parity-w32,article_extended,,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
hamming_weight_n7,mixed_pair,article_extended,ok,36.0,210.0,5.0,selected-beam-shared-parity-w32,"article_extended,journal_full_hamming_weight_n7",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
mod_5_4,factor_count,article_core,ok,7.0,37.0,3.0,selected-beam-shared-parity-w16,article_core,,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
